"accountId","transaction_hash"
"nf-payments2.near","CQA7c3UNvGJEFdaQVzQRygiz42YaLSPwSkDc16GsiVqV"
"nf-payments2.near","5iQbcHS3CkGDsCkub46u1wiudwapRVP8wYjD1CGZmCby"
"nf-payments2.near","6aJfu8Fbrmqo72N4dWCJnS23r3FCSw63BfpmXSnyWPLF"
"nf-payments2.near","5W3h1j3VLspFhbiYAi111diBLvdw5N4nj32SC4cpHwHE"
"nf-payments2.near","DpybqhRqKRBte2zGJLeH4d8zahxDTA7sfSmSkFCMbbWW"
"nf-payments2.near","F27TxEH83KTmzy5G3gsG4SDMx6sQ4BCKvHx1yoiWt2pW"
"nf-payments2.near","EM9ZU13K1hr7wwnzmhrmV7obc7FRd1YV27UGLf71uKs8"
"nf-payments2.near","3CdJ3wS7iZpPt6Ladi4WpQCn3twkmb1DeGoe5XCt5CkA"
"nf-payments2.near","AXGdJ7cenMfLbBGPv8kVbrMVL831X224WyTTUWECzzph"
"nf-payments2.near","2pGKXiRsCD85BkHQSvxDwfFbo6dC1qF5NXy4LDXBPFYb"
"nf-payments2.near","FcQ9RKnna5V744hvNx3YTbkefNhDUGLZShEEzUi9EWUG"
"nf-payments2.near","4dyJzLDAYXnnRLqBFnVLHt7dKvWFx3BpgCwkkHFcMyRQ"
"nf-payments2.near","37JUQoBiqNyCy9dFV7vbb1M4frYHty6CatTQHYETa7Pw"
"nf-payments2.near","3kwheQgqjSmEwzY1Q8Z33iRCNAzy8vXcYD2NyELvkcaU"
"nf-payments2.near","8vMg7rQ9D6A5Mjae3M8Pna37aSGDAp4CFaFrBuHeCTXV"
"nf-payments2.near","4JvDzyWhuCY8WnCL8FrqApQcFQqXaQKATXv7b1dx1NHw"
"nf-payments2.near","ACLdUJc4iiENQcS1GDCBHNNyitAYgmcEDypR9icLxpF9"
"nf-payments2.near","4dnHqHGTppTdBzxku5q3bkpPDKNnBoYyKBnHn6tL9NgX"
"nf-payments2.near","9xaVwyYRDhNK6u74n6UwF5hHG6H7GixXAe2TFff5AmVQ"
"nf-payments2.near","BvMRzwaRgosq4NPubUX7Xif8DE2jj8HiqxQGK1GxiCN4"
"nf-payments2.near","5MoNVDStYXi37RaZZaGN7xo6sZebEEZFXSaiT1Vyaf3j"
"nf-payments2.near","8LQjp5bva812PWFYHkBBsh8XWoJSWue3C7pGEwXcz9v3"
"nf-payments2.near","GzfC28wT3YdLSDiqU8BXMux8Vgx3YgKy4iKtWnRY51Ct"
"nf-payments2.near","5TWBkhjCTcMLarg2h8eqcnVVScgg6JNniaHgVYKtY6xi"
"nf-payments2.near","CVFqEZd2xi7d8Cdxf9o6mKNPZxwRWVu7PECgVGWFX8Vf"
"nf-payments2.near","8NXqNqhwP25roHWBD9aJBCwUrAYcBkJrXbE9R6LFuusJ"
"nf-payments2.near","6wrH9QdTHnDMN7iM2c4zuns5oDoQtQjKpXXaf1kExACt"
"nfendowment03.near","6wrH9QdTHnDMN7iM2c4zuns5oDoQtQjKpXXaf1kExACt"
"nfendowment03.near","ETvx9oD58qZCUSBGpoibRY5iWnFPHyTcpctEVzbPowkM"
"nf-payments2.near","7ZbC8SWwahU5rGtDnqzVYPD4z1kmSWevYFqLG6ExuKhC"
"nf-payments2.near","CYv9jeQxh6DWx716oDbGvaCLM1vKNoQ9v1L8sySeAGGk"
"nf-payments2.near","9jc5J3Ds82ELup51RCS51drdBN3VZoWHC8V4yexJ2WPg"
"nf-payments2.near","7CDfMQrasx8rewJ5mF6a49vg3PJFEen51AvxDUKU4Q5n"
"nf-payments2.near","FMbvbFBx6nNbpJE6ePkHtqpLoNPJ1VjhDuWjmiVDKJV8"
"nf-payments2.near","32YtDepCo3SUWfR38p5qQXVRprbu4GaBbyyBK6JJuqer"
"nf-payments2.near","9R9nU3TytKGfi7ianeAMununauRMipkxjkY2VYtmYCEW"
"nf-payments2.near","7RH5fqZYq7Pf6cRCYjKWDMfLmpGBLG4u57DKidBhN7ZZ"
"nf-payments2.near","8BPQ1XgjAeYJUdDULCotkAtE2FkZtBZ7EC5NPgpgHUmf"
"nf-payments2.near","8BSPbzSSquVQGWmHrH5MWEJ6uMiPP7trGcosucPrdxRz"
"nf-payments2.near","2vvJxBWk6pAXH4EEQB2WVi1N7Xy3if9HVr5JcGtN8rww"
"nf-payments2.near","DkwPCTXzjNxCu5QtoUAkjA1UJS1jeS2k8WxvHxRLeC3W"
"nf-payments2.near","7S63KDjFVjfgUU3bXDrwjyGsnpWBz3rAsyrhn1xXgC2N"
"nf-payments2.near","HjGehcVGx57rK8m8gEXF3RpZidu3QZ7XfPWFBYVFxLsV"
"nf-payments2.near","G25xU7CZJkEfj15uXHe6u2gLAngF5w9pEUhQaRFcupwy"
"nf-payments2.near","88or5Tto67PTegns2tMuhK58HRYWzYMJVMWn3AMF7B5c"
"nf-payments2.near","BmknjQwpuFp8jiiyqX7TXxT4s8hRzT9ayj1pjksF4Qpz"
"nf-payments2.near","EoefnKFHCqKwKUa6qmvXQPAYKB7pZ1YzT4SYSVKwJVEU"
"nf-payments2.near","EhQ8UPd6sy61V73tU4gGYqEo4RjPDmXP3WsytojF82TS"
"nf-payments2.near","6zCPVrTTwsPtS9kFCvNTfwXdK5PfEHCXytp93VBZCy7p"
"nf-payments2.near","3rQpLUL6MdgVCiPNV3WTNWg8ARiBT2GmfVxMerh7iZwx"
"nf-payments2.near","8nj9vYKxQmXzrx8Lx6PsaXo8L8xrGHZC5ZrKh4nuciaH"
"nf-payments2.near","8WZj15AzVenpxATL8jBEs4iSLkjxLwvu2xyBdEtYvadW"
"nf-payments2.near","Dnj2eAoVuRFt3CfSRfhS3iPYUvisoWsV4VL1LA6vf6Te"
"nf-payments2.near","3zx6w6c3NE548BqVRRv9ojSHTk8k1ZB1ba1rKTkySYEL"
"nf-payments2.near","ExDJLjKVDfAeBPS3qYXZ54kbGaj3xKPFmu8rqnQxY2RV"
"nf-payments2.near","9GWvrmgdFLVxE6fXrwQ7ztP9wdbgwddwpH16GSUzZZED"
"nf-payments2.near","6BJsjXWr1ydqtqpD7Dup3QBMTiXL9G6eHKzjcAM6y8cQ"
"nf-payments2.near","8nRXpRdpeHXduELE7YU5Ng17MJB4YD8GoiW7JqYQ8spF"
"nf-payments2.near","DzirzjWR4w1L95HyULqe42Fou3uFh9vhgFw8AjNhAtCw"
"nf-payments2.near","FKnDKEhPHnGXWiXTmp9iFyMguVh1V2Cy7t2PT93UeKck"
"nf-payments2.near","BuoNQPPJZui9RA4Dgsi5BR4VniePjUHC6vApvSs8DyJm"
"nf-payments2.near","9nbB6QBxMcL61VyidLWsVGTCnX1dSgrySd9uXELHXxrg"
"nf-payments2.near","8LBD2sCm3AkbPdgyK8onRa3XvYqAWVj7WhJ34maprhVD"
"nf-payments2.near","AKwAGVBi6XYvzgEHkg5dyuCg2BJPVTd4i4aFfhCpSLum"
"nf-payments2.near","HqkQ2uvPAPXdi4Ybp3wSzXzdjg547szNcjpj23k8v4Qt"
"nf-payments2.near","2CAzpdQ2Y8AcdNnoCXwbgM6mdM7C5aFVqHnJCbJKKQXA"
"nf-payments2.near","DJQLaRdtuhCqRk7b5W1UqQTHw5YdicHaySpgBszS9fkt"
"nf-payments2.near","4NGUshhhnzikyskfWzGt9Kg2bCfATmUoJZtPLrErcDTj"
"nf-payments2.near","HsPdWJLpAeSN2N4GuugFUqs98izGaFGUHmXLWSLfuZHR"
"nf-payments2.near","LWChq2GHSFJXzsHPqXWQAdN73TR3Emspf7enyYEfJYA"
"nf-payments2.near","2BDgZPzMafCcGwa62FgG2xHYBABPGDgdMxmXXwGbHv3i"
"nf-payments2.near","BtKufNuBWTMX125KM1NdKxXt1jBCqPnANay57MthtFRp"
"nf-payments2.near","BrMHnzbuqMpAVbk1QXrNPNyMHmALhmAMp5wsquTkXHDD"
"nf-payments2.near","AxUVss4qWiQ2RnCA2epNj6TSqE8RjZEKjYT6xwQzhdn3"
"nf-payments2.near","6s1UExat14kNtu3FWXw6fpCHCJ2vQTNdNZboieN8bz3s"
"nf-payments2.near","9HFg1cVEL6b4Ag66MyGseTYcrxbmQGiBjCSFe3CoBpp5"
"nf-payments2.near","DEjBBNHj9NeGdX2ksP7JgdAQeMNZTXcbn6QGLqVHRFpQ"
"nf-payments2.near","2Lc8qAQnJ2kbiSHUmBUfsi6bpsRtUSGTobxjaTy5921p"
"nf-payments2.near","74e8vYLgAa6c2MGuSsLRJKk5vHs745AKDoaV5Te42QnR"
"nf-payments2.near","4EhyUKjsHy5dukygEDg5YTRpCfUVbPLPpXJBf9H3xnny"
"nf-payments2.near","Ggx8L4QhFMGeEU4RWUaL7w6pS1Z7KvF164ZsEDyiF64N"
"nf-payments2.near","Dya5EKsZUjvYhCY9K2aSc5WQW9vY9XtBwbQNsU9Xww6A"
"nf-payments2.near","GK2Di5cSA3yLKR7AkV4xd4HyvWLQAX7xKJgFdwUyBnwm"
"nf-payments2.near","4mA6EP1pctPXonqT1gJJBJVEfwEajtSk6UsU8Tfkt6ws"
"nf-payments2.near","H54WbrVkLqQTEfnYe9XmqPuYuPsJJ4ejsVrJJ6m2Qnzh"
"nf-payments2.near","7zAq7hfQjbpQtkvsKEju92jeeAsmA7JCnRyf9HLXc2oD"
"nf-payments2.near","7UmEsCqEL4LZb1frcuRNMZVHduaExjLJhrhV76WzzNfF"
"nf-payments2.near","4maLsziAp9tjmJzDebG6YWrftPgTgHbWkPag7YJQc2TB"
"nf-payments2.near","KQfkptN3xtjCW6kaYyRAxXKJv9KGxzxwLDFEvz6DLg9"
"nf-payments2.near","5zFQyHbq6wz4Z9y85xD1oXYU6pjbttNsRVCdSQh3DX9b"
"nf-payments2.near","GwY7hWVrdtnaXYPqdEdVpShepq6JKPvyP1wxBoVojTdf"
"nf-payments2.near","49N6q59Fr5RyuKc1iUnYP3RZXRByQ78Y3MpcJrsVbcfU"
"nf-payments2.near","2F59ktnYV6cQWEjQqahP3ojvA7gGxsRfiJv5RJ2HoJc8"
"nf-payments2.near","B5maNy1uK3VSkLD3Wd5ZacdGGNRAwQyNRrjFhF5Qj7oh"
"nf-payments2.near","HYwwm5iCNFghM8emhL5dXB4oMwzXZx2F656vpt8NZyYt"
"nf-payments2.near","DSWG8jH5UXdQVM6mB3eJTyvvNXrSTvC7mAiXgDAyHnQ8"
"nf-payments2.near","2ymxb3Xb2Wt4yeUDb1d8BDsTLUNnwBtUq18NTLAghQJf"
"nf-payments2.near","EAzEsBpxvo2Mufiwzwx42v3UqLbpwhvLF3FVpNrDiBaM"
